Date,Open,High,Low,Close,Adj Close,Volume
2021-07-07,22.889999,22.920000,22.200001,22.760000,22.760000,6720700
2021-07-08,22.010000,22.340000,21.900000,22.020000,22.020000,7880300
2021-07-12,22.200001,22.490000,21.969999,22.309999,22.309999,7687200
2021-07-13,22.200001,22.360001,21.980000,22.250000,22.250000,4251700
2021-07-14,22.400000,23.020000,22.400000,22.590000,22.590000,5844200
2021-07-15,22.430000,22.549999,22.040001,22.129999,22.129999,4879900
2021-07-16,22.230000,22.400000,21.459999,21.580000,21.580000,6264700
2021-07-19,21.000000,21.129999,20.469999,20.799999,20.799999,8165000
2021-07-20,20.920000,21.680000,20.610001,21.530001,21.530001,5971700
2021-07-21,21.600000,21.809999,21.240000,21.660000,21.660000,4527800
2021-07-22,21.660000,21.760000,21.309999,21.440001,21.440001,3634000
2021-07-23,21.430000,21.850000,21.180000,21.219999,21.219999,4366600
2021-07-26,21.219999,21.910000,21.100000,21.870001,21.870001,4583700
2021-07-27,21.750000,21.780001,21.120001,21.299999,21.299999,5317600
2021-07-28,21.430000,21.910000,21.330000,21.900000,21.900000,5542800
2021-07-29,22.049999,22.360001,21.309999,21.400000,21.400000,5818400
2021-07-30,21.200001,21.240000,20.600000,20.600000,20.600000,5052400
2021-08-02,20.940001,21.030001,20.280001,20.340000,20.340000,5723700
2021-08-03,20.190001,20.320000,19.500000,20.219999,20.219999,5517400
2021-08-04,20.420000,20.700001,19.889999,19.959999,19.959999,6820100
2021-08-05,20.010000,20.420000,19.969999,20.020000,20.020000,5605600
2021-08-06,20.030001,20.350000,19.820000,20.100000,20.100000,3630800
2021-08-09,19.850000,20.170000,19.650000,19.940001,19.940001,5414500
2021-08-10,19.969999,20.219999,19.610001,19.680000,19.680000,7406500
2021-08-11,19.610001,19.780001,19.420000,19.540001,19.540001,5218500
2021-08-12,19.490000,19.559999,18.760000,18.760000,18.760000,6369500
2021-08-13,18.860001,19.030001,18.360001,18.389999,18.389999,4430200
2021-08-16,18.219999,18.219999,17.350000,17.450001,17.450001,6336900
2021-08-17,17.330000,17.330000,16.920000,17.049999,17.049999,6101400
2021-08-18,17.110001,17.629999,16.760000,17.230000,17.230000,6773600
2021-08-19,16.700001,17.750000,16.600000,17.670000,17.670000,6803600
2021-08-20,17.250000,18.200001,17.110001,18.200001,18.200001,7581100
2021-08-23,18.500000,18.719999,18.090000,18.510000,18.510000,6274400
2021-08-24,18.750000,20.540001,18.750000,20.540001,20.540001,14532500
2021-08-25,20.309999,20.709999,20.110001,20.620001,20.620001,6487500
2021-08-26,20.480000,20.870001,20.080000,20.170000,20.170000,4572300
2021-08-27,20.299999,21.000000,20.200001,20.780001,20.780001,5741500
2021-08-30,20.709999,20.740000,20.000000,20.129999,20.129999,4484600
2021-08-31,19.959999,20.129999,19.620001,19.959999,19.959999,6390200
2021-09-01,19.990000,20.049999,19.690001,19.690001,19.690001,3746400
2021-09-02,19.709999,20.110001,19.360001,19.469999,19.469999,7488400
2021-09-03,19.700001,19.740000,18.950001,19.030001,19.030001,4812200
2021-09-06,18.879999,19.480000,18.719999,19.480000,19.480000,2195500
2021-09-08,19.370001,19.990000,18.879999,18.940001,18.940001,8475500
2021-09-09,18.990000,19.950001,18.940001,19.709999,19.709999,7105200
2021-09-10,20.200001,20.480000,18.879999,19.040001,19.040001,6669700
2021-09-13,19.520000,19.860001,19.059999,19.510000,19.510000,5413100
2021-09-14,19.490000,19.690001,19.059999,19.280001,19.280001,3613400
2021-09-15,20.650000,20.650000,19.680000,19.780001,19.780001,10199800
2021-09-16,19.600000,20.260000,19.420000,19.950001,19.950001,4866400
2021-09-17,19.840000,20.160000,19.100000,19.129999,19.129999,6409600
2021-09-20,18.379999,18.969999,18.299999,18.870001,18.870001,7237000
2021-09-21,19.180000,19.750000,19.100000,19.600000,19.600000,5651700
2021-09-22,19.799999,21.139999,19.570000,20.730000,20.730000,9682500
2021-09-23,20.799999,21.700001,20.799999,21.510000,21.510000,6766300
2021-09-24,21.250000,21.889999,21.100000,21.889999,21.889999,4600400
2021-09-27,21.770000,22.219999,21.299999,21.530001,21.530001,5452200
2021-09-28,21.240000,21.530001,20.719999,20.879999,20.879999,4506800
2021-09-29,21.030001,21.400000,20.670000,20.900000,20.900000,3186600
2021-09-30,21.049999,21.139999,20.370001,20.709999,20.709999,3657000
2021-10-01,20.770000,21.879999,20.709999,21.830000,21.830000,5755800
2021-10-04,21.580000,21.690001,20.709999,20.830000,20.830000,4505800
2021-10-05,21.010000,21.080000,20.049999,20.170000,20.170000,3852400
2021-10-06,19.299999,20.410000,19.219999,20.350000,20.350000,7748400
2021-10-07,20.450001,20.690001,19.920000,19.969999,19.969999,4586500
2021-10-08,20.170000,20.770000,20.030001,20.080000,20.080000,4996100
2021-10-11,20.150000,20.260000,19.600000,20.010000,20.010000,5326300
2021-10-13,20.030001,20.320000,19.870001,20.010000,20.010000,4429800
2021-10-14,20.180000,20.549999,19.950001,20.059999,20.059999,3460800
2021-10-15,20.260000,20.820000,20.020000,20.600000,20.600000,3445200
2021-10-18,20.350000,20.490000,19.910000,20.299999,20.299999,5079300
2021-10-19,19.990000,20.049999,18.730000,18.799999,18.799999,9470400
2021-10-20,19.040001,19.209999,18.100000,18.190001,18.190001,6500000
2021-10-21,17.650000,18.350000,17.430000,17.820000,17.820000,6788700
2021-10-22,17.469999,17.760000,16.260000,17.080000,17.080000,15169200
2021-10-25,17.250000,17.780001,17.160000,17.200001,17.200001,7277500
2021-10-26,16.950001,17.180000,16.160000,16.180000,16.180000,5565700
2021-10-27,16.330000,16.650000,15.890000,15.890000,15.890000,6876700
2021-10-28,15.890000,16.350000,15.670000,15.740000,15.740000,5074400
2021-10-29,15.900000,15.940000,15.180000,15.180000,15.180000,4806400
2021-11-01,15.530000,16.530001,15.530000,16.450001,16.450001,6034300
2021-11-03,16.230000,17.600000,16.100000,17.549999,17.549999,8423900
2021-11-04,17.340000,17.600000,16.719999,16.920000,16.920000,6391800
2021-11-05,17.410000,18.500000,17.410000,18.299999,18.299999,7554300
2021-11-08,18.150000,18.620001,17.910000,18.190001,18.190001,5449200
2021-11-09,18.250000,18.350000,17.500000,17.570000,17.570000,7271800
2021-11-10,17.469999,17.770000,17.030001,17.340000,17.340000,5536800
2021-11-11,17.600000,18.790001,17.490000,18.090000,18.090000,9803600
2021-11-12,17.990000,18.330000,17.440001,17.549999,17.549999,4970600
2021-11-16,17.690001,17.799999,16.730000,16.870001,16.870001,4906100
2021-11-17,17.070000,17.370001,16.469999,16.930000,16.930000,7192500
2021-11-18,16.990000,17.500000,16.490000,16.650000,16.650000,4760000
2021-11-19,16.559999,16.959999,16.250000,16.709999,16.709999,3992700
2021-11-22,16.889999,17.270000,16.170000,16.200001,16.200001,4782400
2021-11-23,16.400000,16.510000,15.240000,15.640000,15.640000,7169200
2021-11-24,15.530000,16.180000,15.110000,15.590000,15.590000,8016700
2021-11-25,15.510000,17.100000,15.470000,17.100000,17.100000,8536500
2021-11-26,15.750000,15.990000,14.720000,15.080000,15.080000,22649700
2021-11-29,15.670000,15.770000,15.100000,15.600000,15.600000,12058000
2021-11-30,15.310000,16.000000,14.860000,16.000000,16.000000,11236900
2021-12-01,16.190001,16.730000,14.800000,14.800000,14.800000,11250500
2021-12-02,15.050000,15.210000,14.580000,15.040000,15.040000,8239600
2021-12-03,15.010000,15.930000,15.010000,15.170000,15.170000,8159100
2021-12-06,15.500000,17.129999,15.350000,16.889999,16.889999,10913700
2021-12-07,17.549999,17.910000,16.870001,17.110001,17.110001,7937500
2021-12-08,17.160000,18.700001,17.059999,18.680000,18.680000,8646800
2021-12-09,18.250000,19.650000,18.049999,19.350000,19.350000,7888800
2021-12-10,19.620001,20.049999,19.120001,19.200001,19.200001,6763900
2021-12-13,19.170000,19.639999,18.370001,18.370001,18.370001,5833300
2021-12-14,18.580000,18.879999,18.129999,18.299999,18.299999,6242200
